Post,Posted,OrganicReach,OrganicImpressions,EngagedUsers,Comments,Likes,Shares,LinkClicks,OtherClicks
The Boone County Sheriff's Department were led to three suspects in connection with the vandalism of the champion bur oak thanks to Facebook photos. The suspects have been charged with second-degree property damage.,3/23/16 11:04,2681,4657,195,6,35,1,88,111
"Skip Walther, a longtime Columbia resident, is a regular at Booche's (and he doesn't need a menu to order). Described by his law partner as &quot;quintessentially Columbia,&quot; Walther says he sees the challenges the city is facing and believes he can help solve them. “I thought it was time to step up,” Walther said about his run for mayor.",3/23/16 10:05,2470,4379,155,4,6,,61,108
"The UM System announced today that they will bring on Kevin McDonald as its first chief diversity, equity and inclusion officer.  He is currently the vice president and associate provost for diversity and inclusion at Rochester Institution of Technology. http://bit.ly/1PrpYT0",3/23/16 8:27,1460,2477,34,,6,1,22,10
All five Columbia School Board candidates are in favor of incorporating more black studies courses and the 65-cent tax to fund schools. Elections are set for April 5. http://bit.ly/1ZqTBeP,3/23/16 8:24,1212,2056,34,,6,,21,7
"Today's front page features black faculty at MU,  Daryl Dudley suspending his mayoral campaign, and MU students safe after the Brussels attacks. Check out our e-edition: http://bit.ly/1q1ngiB",3/23/16 6:11,1512,4832,8,,,,1,3
"MU documentary journalism students' documentary on Concerned Student 1950 and the events last November has gone global. Director Varun Bajaj said he hopes the wider distribution sparks a conversation &quot;about why this happened in the first place and to make sure it never happens again. There are solutions, and not talking about it isn't a solution.&quot; http://bit.ly/1ZqHQEV",3/23/16 4:26,1597,2799,130,6,13,4,48,95
A group of 16 MU students are safe following the attacks in Brussels Tuesday. The group is studying abroad through the School of Journalism. http://bit.ly/1ULR4Lo,3/22/16 20:05,2839,5180,155,,77,3,76,31
"PHOTO GALLERY: Explosions rocked the Brussels airport and subway on Tuesday, killing more than 30 people and leaving 187 injured. This photo gallery shows pictures of the aftermath and reactions from around Europe. http://bit.ly/1S4L0J7",3/22/16 18:41,992,1723,18,,1,,11,7
"Daryl Dudley has suspended his campaign for the Fourth Ward City Council. This past week, Dudley has been under scrutiny for misreporting campaign contributions. http://bit.ly/21GeORo",3/22/16 17:41,2357,3975,129,3,20,2,75,64
"Parents and colleagues wrote letters nominating who they saw as an excellent teacher. Today, seven local teachers join Columbia Fund for Academic Excellence's long list of awardees.",3/22/16 16:00,12285,20801,1227,4,214,18,983,357
"Columbia College broke ground Tuesday on their new quad building designed to be the 'heart of campus'. The new building will give students place to engage and spend time between classes, and is set to be completed in August.",3/22/16 14:00,2552,4127,86,,30,6,40,29
"MU's women's soccer team lost 3-1 against FC Kansas City   on Monday. Although MU didn't pull out a victory, the team gained experience from the two-time Women's National Soccer League champions.",3/22/16 13:00,573,945,8,,4,2,1,5
"Columbia School Board candidates discussed the achievement gap, race, teacher salaries and other issues Monday at a forum held by the League of Women Voters of Boone County.",3/22/16 12:00,1014,1756,24,,1,,17,6
"Columbia City Council passed an ordinance allowing portions of Ninth, Tenth and Locust streets and sidewalks to be closed while a new downtown apartment complex is built. The decision sparked controversy about sewer capabilities and how the complex will affect residents.",3/22/16 11:00,1203,2149,43,3,2,,20,27
"References to the Association of American Universities appear throughout MU's strategic plan, and the association is at the forefront of big administrative decisions. Recently, the university has been trying to shore up its status in the association. But a look at University of Nebraska's survival after AAU stripped its member status in 2011 gives another perspective.",3/22/16 10:00,4142,7377,283,2,10,7,115,184
"The Missouri women's basketball team fell to Texas in the second round of the NCAA Tournament, despite a strong offensive showing from freshman Sophie Cunningham. The Tigers hope to have better luck next year with only four graduating seniors.",3/22/16 8:02,2563,4634,105,2,21,1,73,19
"Today's front page features Rise apartments, the truth about roofies and Obama in Cuba. Check out our e-edition here: http://bit.ly/1Po5kmM",3/22/16 6:00,1464,5285,7,,,,1,1
"Ian Thomas' treasurer filed a complaint against Daryl Dudley, a candidate for the Fourth Ward City Council seat. He is alleging that Dudley failed to report details about campaign finances and donations. http://bit.ly/1UgWcsr",3/22/16 4:30,254,334,6,,,,3,3
"POLITIFACT: Gubernatorial candidate Eric Greitens said that if you make $9,000, then you are in the top tax bracket. PolitiFact rates this claim as false. http://bit.ly/1pGAAsL",3/21/16 20:15,1556,2406,75,3,1,1,25,57
"Fourth Ward councilman Ian Thomas filed a formal complaint to the Missouri Ethics Commission against council seat challenger Daryl Dudley on Monday. Dudley had misreported $60,000 worth of campaign contributions.http://bit.ly/1PnG53S",3/21/16 19:19,2464,4055,140,1,19,5,63,85
"More than 500 people gathered in Jesse Hall on Sunday to listen to Bryan Stevenson, founder and executive director of the Equal Justice Initiative. His book, &quot;Just Mercy,&quot; was chosen for the Mizzou Law One Read program due to the ongoing race-related protests and events on campus.",3/21/16 18:23,4496,7531,190,4,43,11,38,141
The Boone County Commission announced Monday that the Desert Storm Memorial that contained a &quot;Jesus fish&quot; was relocated over the weekend to Columbia Cemetery. A new monument to replace it has been installed on the courthouse grounds. http://bit.ly/1U2YydW,3/21/16 18:15,1311,2187,38,,4,1,19,17
"Angela Anderson lost two children to electrocution at the Lake of the Ozarks in 2012. She believes their deaths were preventable, and says legislation is needed to make docks at the lake safer.",3/21/16 16:15,3058,5099,113,1,12,6,60,55
All six Columbia City Council candidates say they want to increase the city's lodging tax to fund a new terminal at Columbia Regional Airport-FlyMidMo.,3/21/16 14:04,1049,1793,16,,1,2,10,6
Stepping and strolling are a strong part of African American culture. Explore the tradition through virtual reality with the men of Mizzou Alphas.,3/21/16 13:05,10181,19108,374,12,76,15,2,328
"In a guest commentary, one MU graduate research assistant addresses the graduate students' reasons to unionize and the challenges MU is facing in the wake of enrollment declines and budget cuts.",3/21/16 12:05,1604,2738,60,1,5,2,38,24
"After winning his second national championship, J'den Cox was reserved — he hugged his opponent and quietly made his way over to his coach. “Afterwards, you don't see a great celebration because it was more of — I was more proud of everything I had gone through and everything I had to do,” Cox told reporters Saturday night. “And I was proud of myself.”",3/21/16 11:27,2730,4296,103,2,34,2,27,61
"Nearly 55 percent of black faculty work as assistant professors at Mizzou, the lowest rank for regular appointment faculty.&quot;You start to wonder where your place is in that sort of arrangement,&quot; said Noelle Witherspoon Arnold, a former MU faculty member in the Department of Educational Leadership and Policy Analysis. Arnold said part of the reason she left last semester was noticing a ceiling for women and minority faculty when it came to promotion.",3/21/16 10:13,2652,4664,166,4,11,4,46,132
"Adding a terminal to the Columbia Regional Airport-FlyMidMo has been discussed since 2011. A newly proposed tax on hotel rooms could make that dream a reality, but it has put hotel owners on the defensive. http://bit.ly/25fFxZI",3/21/16 8:20,2341,4144,105,11,13,2,43,71
"How many Missouri voters would need a photo ID if a voter ID law passes? Our fact-checking team took a closer look at the estimates after state Rep. Kip Kendrick claimed that “requiring photo ID would keep about 200,000 Missourians from voting.&quot;",3/21/16 6:15,1343,2215,39,5,1,,18,23
"The doors of the James Condominium were the first to go Saturday morning. Nearly 25 volunteers worked to salvage pieces before the 100-year-old building is demolished to make way for Rise Apartments, a new 10-story housing development in downtown Columbia.",3/20/16 19:06,4090,6866,226,1,17,5,163,75
"This week's most read stories include a young college basketball referee with his eyes set on the NBA, a candlelight vigil held in memory of MU freshman Kayce Goldberg and a crowd of 4,000 rallying in Springfield to support Bernie Sanders' presidential campaign. http://bit.ly/1PlgCIq",3/20/16 18:04,1154,1879,17,,3,1,6,11
"For this year's Palm Sunday celebration, six local churches held a lively outdoor service at the intersection of Ninth and Broadway. http://bit.ly/1Pl9Z90",3/20/16 16:00,3900,6214,180,,75,1,103,38
"Even when subjects are in the midst of action, it's important for photographers to find the context that makes the subject stand out. See what our Missourian photographers found this week. http://bit.ly/1RaxuG4",3/20/16 14:40,1161,1929,16,,1,,14,3
Mizzou baseball has one last shot against No.1 Florida this afternoon after losing last night 6-2. Junior Jake Ring gave Mizzou its only runs of the night on a two-run double at the top of the eighth inning.,3/20/16 12:29,992,1530,7,,2,,,6
"The Missouri women's basketball team's historic season isn't over yet. The No. 10 seed Tigers beat No. 7 BYU on Saturday, advancing in the NCAA Tournament. The Tigers will play No. 2 Texas on Monday. http://bit.ly/1RWYoPq",3/20/16 10:35,3067,5073,127,5,75,6,29,35
"The #MizzouSoccer team's second game on the preseason schedule is against FC Kansas City at Walton Stadium Monday night. A former Tiger, Kaysie Clark, will be suited up for FC Kansas City.",3/20/16 8:20,1905,3145,38,,7,5,18,19
Today's front page features adjunct professors; candidate campaign funds; and simulation training. Check out our e-edition: http://bit.ly/1PjRhi6,3/20/16 6:09,1682,6278,7,,,,,2
"It might be off-season for hunting-dogs, but two Labradors found plenty of activity tracking down foul balls at the Stephens softball doubleheader Saturday. http://bit.ly/1RWUm9C",3/19/16 20:22,2046,3376,53,2,18,2,22,27
George Luber discussed how increased carbon dioxide emissions has impacted human health and how important it is to prepare for natural disaster recovery during his presentation Saturday on climate change. http://bit.ly/1pTPr2S,3/19/16 18:32,852,1467,6,,2,,4,
"In a commentary for Sunshine Week, MU student Lauren Styx says if a door were locked and you could never open it, wouldn’t curiosity burn you to your core? Sunshine laws help unlock the doors of government. http://bit.ly/1Pjo6vt",3/19/16 16:15,176,271,2,,2,,1,
Role playing exercises make intimate partner violence training at the Sinclair School of Nursing’s seem more real for students. http://bit.ly/1ZenNJP,3/19/16 14:40,3041,5209,92,1,35,5,27,50
Need help deciding whom to vote for in the Columbia City Council election? We have all six candidates' responses to the proposed overhaul zoning codes here!,3/19/16 12:33,169,277,3,,,,1,2
Candidates for Columbia mayor and City Council responded to a Missourian Q&amp;A on the city's most pressing challenges in dealing with crime. Here's what they said. http://bit.ly/1Ublfgz,3/19/16 10:00,1311,2265,33,,1,2,28,5
"Junior, Jake Ring, hit an RBI-single to tie up the game against Florida in the top of ninth Friday night, but the comeback fell short in extra innings. #MizzouBaseBall will get another chance at the No. 1 seed Saturday night. http://bit.ly/1Zd8ykk",3/19/16 8:30,234,387,4,,,,3,1
"Fourth Ward City Council candidate Daryl Dudley is pulling ads funded by $60,000 worth of misreported campaign contributions. He received two donations, worth $10,000 and $50,000, and failed to report them to the Missouri Ethics Commission online within 48 hours of receiving them, as mandated by state law.  http://bit.ly/1ZbleZ0",3/19/16 6:11,1526,2438,34,1,3,,19,13
"Police arrested a man Thursday on charges of assault, child endangerment, kidnapping and unlawful use of weaponry. http://bit.ly/1Zb62v6",3/18/16 20:06,1608,2921,66,,,,56,10
"The Stephens College exhibit “Playing Dress Up: How Kids See Clothing” showcases children’s interpretations of about 45 garments from the costume library. “Not every garment has a story, but most of the groupings have a story that will accompany them that are really fantastic,&quot; said Jennifer Cole, the Stephens College fashion assistant curator.",3/18/16 18:00,7864,18357,363,15,119,20,,301
"Legislators have tried to make synthetic cannabinoids like K2 illegal, but the continuous evolution of the drugs have made it difficult to do so. Columbia police say they are aware of between five and 10 K2 overdoses so far in 2016. http://bit.ly/1pR6z9q",3/18/16 16:15,547,734,25,3,,1,11,20
"Missouri football players call new cornerbacks coach Greg Brown &quot;The Wizard.&quot; &quot;Anytime you have a coach coming in with that name, you're going to get some good stuff,&quot; Missouri defensive back Logan Cheadle said. http://bit.ly/1UaVg8Z",3/18/16 14:20,1044,1821,22,1,5,,9,10
"After finishing fifth nationally in 2015, Missouri wrestler and Columbia native J'Den Cox changed his diet and workout regimen. Now the junior is expecting to recreate the success of his championship-winning freshman season. http://bit.ly/259hEmm",3/18/16 13:20,258,411,5,,1,,,4
"Anger towards MU may be justified, but punishment is not, Rep. Caleb Rowden said in response to the Missouri House's $7.5 million cuts to the UM System.",3/18/16 12:07,5774,9497,384,11,81,9,156,248
"The UM System is searching for an audit company to examine and evaluate the diversity, equity and inclusion within the system. All four campuses in the system will be undergoing the proposed audit.",3/18/16 11:27,1917,3293,87,7,11,7,15,72
"In 2014, one in five part-time faculty members nationally lived below the poverty line. Adjunct professor around mid-Missouri are feeling a similar pinch with no guaranteed job benefits, security or wages.",3/18/16 10:31,2980,5004,123,3,23,5,59,65
"Climate change is not just an issue for scientists; everyone should be thinking about sustainability, says Andy Revkin, an environmental writer for The New York Times and fellow at Pace University. He argues that a cultural narrative that sustainability is essential in order to preserve our planet.",3/18/16 8:01,992,1774,38,1,8,1,10,26
"Today's front page features K2, Missouri gubernatorial debate, Boone County Fairgrounds and the UM System curators' response to the AAUP. Our e-edition: http://bit.ly/1SXlmuG",3/18/16 6:15,1967,5317,18,2,4,,1,4
"At Thursday's gubernatorial debate, Eric Greitens drew heavy criticism for accepting the donation of a man accused of sexual assault. Candidates also discussed cuts to the UM System and the protests on the MU campus. http://bit.ly/1Z7DFhi",3/18/16 4:16,1337,2213,33,,,1,25,8
"Missouri wrestler J'Den Cox is the No. 2 seed going into the NCAA Wrestling Championships this weekend, but he remains confident he'll leave New York City as a national champion. Cox finished fifth last season. http://bit.ly/1UF1j49",3/17/16 20:10,1187,2006,24,2,12,2,6,13
Candidates for Columbia mayor and City Council told the Missourian how they would pay for increased Police Department staffing. Here's what they wrote: http://bit.ly/1PeYDU2,3/17/16 18:15,1279,2067,32,1,2,2,26,9
"@[Mizzou Baseball] trailed 4-0 on Wednesday's game against Southeast Missouri State. An inning and eight runs later, the team rallied back. Now, the team looks to keep the momentum going Friday against Florida, its first SEC game of the season.",3/17/16 17:00,201,332,3,,2,,1,1
"&quot;I, as their teacher, see myself as a guide to that place where they can close their eyes and see all the world as it unfolds before them,&quot; writes Hickman High School creative writing teacher Nancy White.",3/17/16 14:15,866,1545,15,,7,1,6,6
"Missouri's Republican governor candidates — John Brunner, Eric Greitens, Catherine Hanaway and Peter Kinder — will debate Thursday night at Missouri Theatre. Because Attorney General Chris Koster is currently the only Democratic candidate, there won't be a Democratic debate.",3/17/16 13:36,109,200,1,1,,,,
Columbia Police know of 5-10 K2 overdoses so far this year. The department thinks K2 is being sold to the homeless through street dealers and convenience stores.,3/17/16 12:28,4227,7432,216,5,12,11,168,60
UM Curators Chairwoman Pamela Henrickson said Thursday that the decision to fire Melissa Click did not merit the AAUP’s censure and that Click’s behavior was “especially disturbing” and “dangerous.&quot;,3/17/16 11:26,2193,3729,119,1,9,2,57,65
"MU will save $200,000 a year by closing two dorms — Lathrop and Laws halls — that have been on campus for 57 years.",3/17/16 10:42,9283,16994,963,41,61,20,404,632
Plans for new plexes have Ridgemont neighborhood residents perplexed. High density housing that might be added to the area is raising concerns. http://bit.ly/1RPM03I,3/17/16 8:14,1311,2206,51,1,2,,43,18
Today's front page features preserving Maplewood House; climate change symposium; Supreme Court Justice; and Missouri primaries. Check out our e-edition: http://bit.ly/1QZCfCg,3/17/16 6:07,1591,4645,13,1,,1,1,2
"Downtown development, public transportation and Columbia's carbon footprint were hot topics for city council candidates at Wednesday night's forum at the Boone County Government Center. Though they differed on some issues, all candidates agreed that increasing Columbia's renewable energy resources was important. http://bit.ly/1pvrWgu",3/17/16 4:22,816,1230,17,,4,,7,8
A Missouri hemp advocacy group went to the Captiol on Wednesday to educate people about the benefits of industrial hemp and why it should be legal. http://bit.ly/1RPIvdx,3/16/16 20:12,939,1519,16,,6,1,7,4
"When Missouri wrestler Le'Roy Barnes lost the 141-pound starting job, he didn’t try to argue. Instead, he told Missouri wrestling coach Brian Smith that he would be going for the 157 team. Since then, the wrestler has lived up to his Twitter handle, @ChampionAdjust, and it's paid off for him. http://bit.ly/1SUoIhY",3/16/16 18:27,1088,1780,14,,3,,6,6
Democrats and Republicans may not always see eye to eye. But an Associated Press poll found that Missourians of either political stripe agree the economy is a top issue. What aspect of the economy is important to you? http://bit.ly/1Pczx8i,3/16/16 16:00,593,1033,2,,1,,,2
The Mizzou Women's Basketball is heading to the NCAA tournament for the first time in six years. And they'll bring two of the AP's All-SEC team members.,3/16/16 14:20,3235,4966,166,,112,5,48,28
"We may have wrapped up one election, but there's another coming up on April 4. One proposal residents will vote on: increasing teacher salaries. http://bit.ly/1Z1H6Ga",3/16/16 13:20,98,141,1,,,,1,
"What do you get when you piece together a tennis ball, a chain and a piece of shiny ribbon attached to a mailbox? Columbia resident Joe Dillard used these items to build a contraption that notifies him when his mail has arrived. http://bit.ly/1ROaPNg",3/16/16 12:15,1946,3524,68,,4,,57,11
"After Tuesday's election, Columbia voters decided to prohibit roll carts and prevent City Council from moving forward in any way on the issue for at least the next six months. What do you think of the city's ban on roll carts? http://bit.ly/1PbMP4Z",3/16/16 11:10,503,653,37,2,2,,16,25
Immigrants to Missouri primarily come from more than 18 European countries. Do you know what's your family's ancestral origin? The Missouri Digital Heritage Initiative provides a database to track naturalization records thanks to the sunshine law.,3/16/16 10:13,236,367,5,,1,1,3,1
"Imam Suhaib Webb captivated listeners on Tuesday at MU while he debunked common myths regarding American Muslims. Webb converted to Islam in college, and is an Oklahoma native.",3/16/16 8:05,2929,5374,157,1,43,5,104,57
Primaries were tight in Missouri but not Boone County. And city voters wanted to keep the current trash system. Read more in our e-edition. http://bit.ly/2541meI,3/16/16 6:07,3019,8418,184,,23,5,10,124
"MU junior Kevin Raher definitely puts on a show on the basketball court. But he's not playing the game, he's reffing it. http://bit.ly/1pKq4Ag",3/16/16 4:34,5334,8860,255,1,32,5,187,100
"Presidential candidates Ted Cruz and Bernie Sanders scored the most votes in Boone County, but the rest of the state was a different story. Donald Trump and Hillary Clinton won their primaries in very close decisions. http://bit.ly/1PbbCGm",3/15/16 23:07,2835,4798,166,4,12,3,74,89
Proposition 1 has officially been approved by popular vote. This means that the roll cart debate will be a non-issue for at least the next six months. http://bit.ly/1YYAdpa,3/15/16 22:24,4724,9063,583,32,20,6,278,385
Softball plus Beyonce? Popular music permeates the chanting from the Columbia College's softball team dugout. http://bit.ly/1YY8vc4,3/15/16 20:01,785,1383,11,,,,7,5
UPDATE 9:10 p.m: 56 percent have voted &quot;yes&quot; for the roll cart ban. Bernie Sanders has taken the lead from Hillary Clinton. Ted Cruz is still the Republican  front-runner. Five of 61 precincts have reported results. We'll continue updating this post throughout the night. http://bit.ly/1psOcb4,3/15/16 17:59,3434,5963,225,,5,3,190,39
"The 139 year old Maplewood House is getting a few makeovers. The Boone County Historical Society hopes the repairs will bring more visitors. Money from the City of Columbia and the federal government will fix cracks, improve ventilation and replace flooring.",3/15/16 16:00,923,1534,15,,3,1,9,7
Two sophomore Mizzou Basketball guards are transferring from the program. There are six scholarship players returning for the 2016-17 season. http://bit.ly/1YXw0St,3/15/16 15:12,1337,2336,48,,1,,39,9
"For MU junior Stazi Prost mentoring students at Centro Latino can be challenging, but more often than not, it's rewarding.  http://bit.ly/1TM9AUW",3/15/16 14:00,338,563,14,,4,1,8,8
"&quot;Both sides come to a similar conclusion: America needs something different during the post-Obama years,&quot; Carl Kenney writes. Kenney tackles the question of what this presidential debate will represent in the future.",3/15/16 13:27,1141,1999,24,,1,1,21,4
Members of Mizzou Phi Mu and other Mizzou students came together to celebrate the life of Kayce Goldberg. Kayce passed away Thursday morning from type 1 diabetes.,3/15/16 12:37,7248,13509,721,3,112,9,429,342
We're taking to the streets to see what Columbia residents think about roll carts and the presidential primary. Add your thoughts to the conversation in the comments below!,3/15/16 11:24,465,767,25,,,,19,9
Want to know more about a real estate agent before choosing one? Track the open records on the state Division of Professional Registration website to see if an agent has any violations of state regulations since 2011.,3/15/16 10:00,259,443,9,,,1,7,1
"The trash talk may soon come to an end. Today is the day to go out and vote on the roll cart ballot, in addition to the presidential primary. Wondering how this roll cart debate started? Read our summary here: http://bit.ly/1UuzQSw",3/15/16 8:33,259,405,4,,1,,,3
"The UM Board of Curators rejected Melissa Click's appeal of her firing. Earlier, it was reported that she was on paid leave while the curators sorted through the appeals process. As of today, she is no longer being paid. Find our updated story below with Click's appeal and the curators' response.",3/15/16 7:48,2249,4227,143,2,23,7,37,98
Don't know who you're going to vote for today? The Missourian breaks down who's on the ballot: http://bit.ly/1TJUsY7,3/15/16 4:15,1440,2305,70,2,5,2,54,16
"In the front row of the Mizzou Arena, surrounded by about 70 fans, the Missouri women's basketball team burst into celebration as the TV announcers called the second-to-last-game. The team earned a spot in an NCAA tournament for the first time since 2006. http://bit.ly/2519Ovf",3/14/16 20:46,9504,14542,508,1,285,15,127,213
"The city will hold a forum on Tuesday regarding a Ridgemont development proposed by Pate-Jones Construction. The Columbia Lutheran Association of Schools owns the land and had planned to build a school on the property. Pate-Jones is asking for rezoning as planned urban development.Edited to correct the name of the developer.",3/14/16 18:14,1833,3062,72,2,4,1,54,27
Melissa Click is still being paid while the outcome of her attempt to appeal her Feb. 25 termination is undecided. http://bit.ly/1YTcgj6,3/14/16 16:41,306,491,19,4,3,,10,7
FROM READERS: Humera Lodhi of the Muslim Student Organization says she feels unwelcome in her own country due to the current political climate. http://bit.ly/1RKn0e9,3/14/16 16:31,4332,7503,258,1,52,8,187,62
The UM Board of Curators named alumni Cheryl D.S. Walker and James H. Whitaker to co-chair the committee that is seeking a new president for the University of Missouri System.  http://bit.ly/1QSOHDN,3/14/16 14:48,887,1522,19,,1,,14,5
Chelsea Clinton visited the UCP Heartland Child Development Center in Columbia today where she held a roundtable discussion about early childhood education. http://bit.ly/1RJZQEA,3/14/16 13:35,2667,4369,106,3,24,3,43,61
"MizzouThon gathered participants to dance for 13.1 hours and raised more than $276,000. A 360-degree video captured by a media team member gives you the feeling of being there.",3/14/16 12:05,920,1748,22,,7,2,13,6
"As a part of our coverage of Sunshine Week, MU student Lauren Styx explains to readers how these laws are the keys that unlock government information.",3/14/16 11:05,1349,2460,48,,3,,36,13
A Freightliner driver was killed Monday morning when his truck drifted off the road and crashed into trees while driving westbound on Interstate 70.,3/14/16 10:03,1737,3192,69,1,3,1,60,12
Voters across Missouri will head to the polls on Tuesday to cast their ballots in the state’s presidential primary. Want to know how your vote will impact the parties candidates? Here’s a breakdown on what will happen going forward: http://bit.ly/1P8f9F6,3/14/16 8:03,1039,1633,42,3,4,,6,34
"Here are some stories you might have missed this weekend: Nixon condemns legislative effort to cut UM System budget — http://bit.ly/1UraG7sMU student composer works to find his voice — http://bit.ly/1YOPcBPMayoral candidates debate downtown, police and payment — http://bit.ly/1YOPcBRBallot issue on roll carts approaches: How did we get here? — http://bit.ly/1UraIfp",3/14/16 6:00,158,286,21,,1,,4,19
"You might be familiar with presidential candidates Hillary Clinton, Donald Trump or Bernie Sanders. However, there are 23 others you can vote for Tuesday in this year's Missouri primary. http://bit.ly/1REqbnD",3/13/16 12:10,4324,7673,230,9,8,5,177,73
Today's front page features Tolton boys basketball winning its first state championship and the countdown to Missouri's primary on Tuesday. Our e-Edition: http://bit.ly/1P6kBZl,3/13/16 6:25,1870,6776,25,,1,,,7
Columbia Missourian shared their video.,3/12/16 8:54,1220,2051,68,4,6,,9,62
Boone County voters will join others across Missouri on Tuesday in the presidential primary. Here's what you need to know: http://bit.ly/1P4oC0d,3/11/16 14:20,3941,10254,141,8,20,9,18,107
"UPDATE (3:15 p.m.): The Facebook event created by Sanders' local campaign staff was recently deleted. UPDATE (2:45 p.m.): Sanders' local campaign staff have recently said they &quot;are not sure one way or another&quot; if he is coming to Columbia.Bernie Sanders will be making a stop in Columbia on Saturday. He'll speak at 7 p.m. at Trowbridge Livestock Arena. We'll be updating the story with more information about admission as we get it.",3/11/16 10:45,37854,70124,4626,512,2013,383,1234,2178
Still unsure how roll carts and ballots go together? We break down Proposition 1 from the beginning and explain how your vote next Tuesday could affect the city's plans for trash collection. You can read more about the issue here: http://bit.ly/1pdc41F,3/11/16 10:00,4365,10328,129,10,42,14,5,96
Today's front page features MU student composer; College of Engineering budget cuts; Nixon's response to MU cuts; and &quot;religious liberty&quot; bill. Check out our e-edition: http://bit.ly/1Rbg0GG,3/11/16 6:10,1917,5043,17,,,,2,2
The Planning and Zoning Commission approved a proposal Thursday to annex about 71 acres between Highway 763 and Brown School Road for a new subdivision and offices. http://bit.ly/1Rbh4KD,3/11/16 4:08,956,1634,19,,3,1,10,10
Today's front page features MU facing budget squeeze; roll carts; county commissioner race; and Erickson appeal. Check out our e-edition: http://bit.ly/1nydDpy,3/10/16 6:11,1789,4945,13,,,,2,2
"In Columbia, we've been talking trash, as in trash service, for five years. On Tuesday, residents will answer the question — roll carts or no roll carts. What's at issue? The answer isn't simple, but we try our best to break it down for you.",3/9/16 10:00,2234,4108,158,14,28,5,44,117
Today's front page features the restoration of the &quot;Blind&quot; Boone; Melissa Click's statement on her firing; and legislative action on the MU budget. Our e-edition: http://bit.ly/1Ud5Lqr,3/9/16 6:10,2734,8535,24,4,2,1,2,12
Having True/False Film Fest withdrawals. Relive the weekend in 15 seconds.,3/8/16 17:00,3050,8671,78,2,15,4,,53
"Today's front page features Concerned Student 1950, True/False, and a pedestrian death. Check out our e-edition here: http://bit.ly/1nsRnNQ",3/8/16 6:30,1751,6038,15,,1,,,5
"MU physics professor Angela Speck predicts a perfect solar eclipse to happen on Aug. 21, 2017, and Columbia will have the perfect view. Speck estimates upward of 400,000 visitors to travel into town. http://bit.ly/1nrQZiC",3/7/16 10:54,3340,5853,191,4,50,12,41,132
